eager,"eager(adj.) 渴望的、熱切的
eagerness(n.) 渴望
be eager for (渴望...)
be eager to do something (渴望做某事)
She is eager for a chance to prove herself.
(她渴望有一個證明自己的機會。)
The students were eager to learn more about the topic.
(學生們熱切地想了解更多關於這個主題的資訊。)"
echo,"echo(n./v.) 回聲、重複、附和
an echo of (的重複/回響)
echo someone's words (附和某人的話)
His voice produced an echo in the empty hall.
(他的聲音在空曠的大廳裡產生了回聲。)
Her comments echo the views of many young people.
(她的評論呼應了許多青少年的觀點。)"
edit,"edit(v.) 編輯、校訂
editor(n.) 編輯
edition(n.) 版本
edit a newspaper (編輯報紙)
edit out (剪掉/刪除)
She spent all night editing the final chapter of her book.
(她花了一整晚編輯書的最後一個章節。)
The scene was edited out of the movie because it was too long.
(那個鏡頭因為太長而被從電影中剪掉了。)"
editor,"editor(n.) 編輯、編者
editorial(adj.) 編輯的 (n.) 社論
chief editor (總編輯)
letters to the editor (讀者投書)
The editor decided to change the headline of the article.
(編輯決定更改文章的標題。)
He works as a sports editor for a local magazine.
(他在一家地方雜誌社擔任體育編輯。)"
educate,"educate(v.) 教育、教導
education(n.) 教育
educational(adj.) 教育的
educate someone in (在...方面教育某人)
be highly educated (受過高等教育)
The campaign aims to educate the public about healthy eating.
(這項活動旨在教育公眾關於健康飲食的知識。)
It’s important to educate children on how to use the internet safely.
(教育孩子如何安全使用網路是非常重要的。)"
educational,"educational(adj.) 教育的、有教育意義的
educationally(adv.) 在教育上
educational background (教育背景)
educational system (教育制度)
This TV program is both entertaining and educational.
(這個電視節目既有趣又具有教育意義。)
The school's educational standards have improved recently.
(這所學校的教育標準最近有所提高。)"
efficient,"efficient(adj.) 高效率的、有能力的
efficiency(n.) 效率
an efficient use of (對...的有效利用)
energy efficient (節能的)
The new system is more efficient than the old one.
(新系統比舊系統更高效率。)
She is an efficient worker who never misses a deadline.
(她是一位高效率的員工，從不耽誤期限。)"
elbow,"elbow(n./v.) 手肘、用手肘擠進
rub elbows with (與...交往/接觸)
elbow one's way through (擠過...)
He rested his elbows on the table while reading.
(他讀書時將手肘靠在桌子上。)
She had to elbow her way through the crowded subway.
(她不得不擠進擁擠的地鐵裡。)"
elderly,"elderly(adj.) 年長的、上了年紀的
elder(adj.) 年長的 (n.) 長輩
the elderly (長者/老人)
an elderly couple (一對老夫婦)
The community center provides special activities for the elderly.
(社區中心為年長者提供特殊的活動。)
My sister helps look after our elderly neighbors.
(我姐姐幫忙照顧我們年邁的鄰居。)"
elect,"elect(v./adj.) 選舉、推選；當選的
election(n.) 選舉
elective(adj.) 選修的
elect a president (選出總統)
elect to do something (選擇做某事)
The committee will elect a new chairperson tomorrow.
(委員會明天將選出一位新的主席。)
We elected him to represent us at the meeting.
(我們選出他代表我們參加會議。)"
election,"election(n.) 選舉、當選
electoral(adj.) 選舉的
hold an election (舉行選舉)
win an election (贏得選舉)
The results of the general election will be announced tonight.
(普選的結果將在今晚公佈。)
Citizens have the right to vote in the national election.
(公民有權在全國大選中投票。)"
electricity,"electricity(n.) 電、電力
electric(adj.) 用電的
electrical(adj.) 與電有關的
generate electricity (發電)
cut off the electricity (切斷電力)
Most of our electricity comes from solar power.
(我們大部分的電力來自太陽能。)
The storm caused a total loss of electricity in the area.
(暴風雨導致該地區完全斷電。)"
electronic,"electronic(adj.) 電子的
electronically(adv.) 電子地
electronic devices (電子設備)
electronic mail (電子郵件)
Many students now use electronic dictionaries in class.
(現在許多學生在課堂上使用電子辭典。)
We accept all forms of electronic payments here.
(我們這裡接受所有形式的電子支付。)"
element,"element(n.) 要素、元素、成分
elementary(adj.) 初級的、基本的
a key element (關鍵要素)
chemical element (化學元素)
Trust is a key element in any successful relationship.
(信任是任何成功關係中的關鍵要素。)
Oxygen is an essential element for human survival.
(氧氣是人類生存所必需的元素。)"
elevator,"elevator(n.) 電梯
take the elevator (搭電梯)
elevator music (電梯音樂)
I’ll meet you on the top floor—take the elevator up.
(我會在頂樓見你——搭電梯上來。)
The elevator is out of order, so we have to use the stairs.
(電梯故障了，所以我們必須走樓梯。)"
emergency,"emergency(n.) 緊急狀況
an emergency exit (緊急出口)
in case of emergency (遇到緊急情況時)
The hospital is well-prepared for any medical emergency.
(醫院為任何醫療緊急情況做好了充分準備。)
In case of emergency, please call the police immediately.
(遇到緊急情況時，請立即報警。)"
emotional,"emotional(adj.) 情感的、情緒化的
emotion(n.) 情緒
emotionally(adv.) 情緒化地
emotional support (情感支持)
become emotional (變得激動/情緒化)
The movie was very emotional and made many people cry.
(這部電影非常感人，讓許多人哭了。)
He gave her some emotional support during the difficult time.
(在困難時期，他給了她一些情感上的支持。)"
emperor,"emperor(n.) 皇帝、君主
empire(n.) 帝國
empress(n.) 皇后
the Roman Emperor (羅馬皇帝)
the First Emperor (秦始皇)
The emperor ruled over a vast territory for many years.
(皇帝統治了廣闊的領土多年。)
Many ancient palaces were built for the emperor.
(許多古代宮殿是為皇帝建造的。)"
enable,"enable(v.) 使能夠
ability(n.) 能力
enable someone to do something (使某人能夠做某事)
enable a function (啟用功能)
This new technology enables us to work more flexibly.
(這項新技術使我們能夠更靈活地工作。)
Scholarships enable talented students to go to university.
(獎學金使有才華的學生能夠上大學。)"
energetic,"energetic(adj.) 精力充沛的、充滿活力的
energy(n.) 能量、精力
an energetic person (精力充沛的人)
feel energetic (感到活力十足)
Children are usually very energetic and love to run around.
(孩子們通常精力充沛，喜歡到處亂跑。)
She gave an energetic performance that impressed the audience.
(她精力充沛的表演給觀眾留下了深刻印象。)"
engage(ment),"engage(ment)(v./n.) 參與、從事；訂婚、約會
engaged(adj.) 訂婚的、忙碌的
engage in (參加/從事)
break an engagement (解除婚約)
We should encourage students to engage in social activities.
(我們應該鼓勵學生參與社交活動。)
Their engagement was announced in the newspaper last week.
(他們的訂婚消息上週在報紙上公佈了。)"
enjoyable,"enjoyable(adj.) 令人愉快的、好玩的
enjoy(v.) 享受
enjoyment(n.) 樂趣
an enjoyable experience (愉快的經驗)
make something enjoyable (使某事變得愉快)
We had a very enjoyable evening at the party.
(我們在派對上度過了一個非常愉快的夜晚。)
Traveling is always more enjoyable when you are with friends.
(和朋友在一起時，旅行總是更愉快。)"
entry,"entry(n.) 進入、入口、參賽作品、條目
enter(v.) 進入
entrance(n.) 入口
entry fee (報名費/入場費)
entry level (入門級/起步階段)
Entry to the museum is free on the first Sunday of the month.
(每月第一個星期日免費進入博物館。)
He won first prize for his entry in the photo competition.
(他憑藉攝影比賽的參賽作品獲得了一等獎。)"
envy,"envy(n./v.) 羨慕、嫉妒
envious(adj.) 羨慕的
green with envy (非常嫉妒)
envy someone's success (羨慕某人的成功)
Her beautiful voice is the envy of all her friends.
(她動聽的歌聲令她所有的朋友都羨慕不已。)
I envy him for his ability to stay calm under pressure.
(我羨慕他能在壓力下保持冷靜的能力。)"
erase,"erase(v.) 擦掉、抹去、消除
eraser(n.) 橡皮擦
erase a mistake (擦掉錯誤)
erase a memory (抹去一段記憶)
You can use this software to erase background noise from recordings.
(你可以使用這個軟體消除錄音中的背景噪音。)
He tried to erase the painful memories from his mind.
(他試圖從腦海中抹去那些痛苦的記憶。)"